Data Index	Xground	Yground	Zground	Xoff	Yoff	Zoff	Xon	Yon	Zon
5.786225392	2.37E-14	1.76E-14	4.65E-15	5.83E-14	6.56E-14	2.49E-14	2.15E-15	1.42E-15	1.54E-15
5.859468752	2.06E-14	2.49E-14	7.83E-15	5.55E-14	1.21E-13	2.30E-14	3.41E-15	1.82E-15	9.66E-16
5.932712111	2.93E-14	4.14E-14	8.28E-15	5.65E-14	1.08E-13	1.87E-14	3.86E-15	1.89E-15	1.60E-15
6.00595547	4.23E-14	3.51E-14	6.39E-15	8.19E-14	4.26E-14	1.96E-14	4.35E-15	1.84E-15	2.20E-15
6.07919883	4.02E-14	1.03E-14	4.20E-15	8.44E-14	3.71E-14	2.26E-14	2.25E-15	3.42E-15	2.04E-15
6.152442189	2.97E-14	1.70E-14	5.20E-15	1.32E-13	4.68E-14	4.83E-14	1.02E-14	3.86E-15	2.55E-15
6.225685548	1.74E-14	1.15E-14	4.00E-15	9.57E-14	9.10E-14	1.17E-13	4.09E-14	3.18E-14	2.54E-14
6.298928908	2.03E-14	1.16E-14	4.82E-15	4.85E-14	6.97E-14	7.16E-14	2.77E-14	3.12E-14	6.11E-14
6.372172267	2.35E-14	2.07E-14	5.16E-15	2.96E-14	5.08E-14	6.47E-14	4.74E-15	5.04E-15	1.73E-14
6.445415627	2.88E-14	2.87E-14	8.11E-15	5.00E-14	5.57E-14	1.37E-13	3.71E-15	1.94E-15	3.41E-15
6.518658986	3.22E-14	2.59E-14	9.98E-15	1.14E-13	4.05E-14	6.44E-14	5.35E-15	3.14E-15	4.13E-15
6.591902345	5.26E-14	3.71E-14	7.03E-15	2.30E-13	3.11E-14	4.59E-14	4.51E-15	3.13E-15	4.67E-15
6.665145705	8.12E-14	2.86E-14	5.11E-15	2.81E-13	2.77E-14	4.57E-14	3.67E-15	2.09E-15	2.75E-15
6.738389064	8.79E-14	2.65E-14	4.66E-15	2.99E-13	2.77E-14	5.93E-14	6.57E-15	1.15E-15	1.48E-15
6.811632424	3.40E-13	3.27E-14	6.18E-15	6.94E-13	1.43E-13	7.98E-14	6.90E-15	1.44E-15	1.14E-15
6.884875783	4.81E-13	2.41E-14	1.19E-14	5.72E-13	1.92E-13	7.99E-14	6.16E-15	1.38E-15	2.17E-15
6.958119142	1.89E-13	2.87E-14	1.15E-14	3.23E-13	6.26E-14	1.82E-13	5.14E-15	1.95E-15	1.48E-15
7.031362502	1.26E-13	3.53E-14	1.07E-14	3.75E-13	1.57E-14	1.90E-13	9.16E-15	3.18E-15	1.71E-15
7.104605861	1.81E-13	4.50E-14	1.29E-14	3.77E-13	9.50E-15	1.80E-13	9.08E-15	1.58E-15	1.76E-15
7.177849221	1.67E-13	6.12E-14	7.64E-15	4.43E-13	3.06E-14	1.15E-13	6.75E-15	1.96E-15	1.28E-15
7.25109258	2.31E-13	3.26E-14	1.10E-14	4.86E-13	2.83E-14	1.47E-13	5.48E-15	3.30E-15	2.35E-15
7.324335939	1.39E-13	6.60E-14	9.84E-15	9.14E-13	2.33E-14	2.54E-13	5.57E-15	3.79E-15	1.59E-15
7.397579299	1.31E-13	1.47E-13	7.53E-15	1.03E-12	2.00E-14	3.36E-13	8.47E-15	3.24E-15	1.05E-15
7.470822658	1.44E-13	1.55E-13	7.59E-15	4.86E-13	2.71E-14	3.85E-13	1.27E-14	1.77E-15	1.23E-15
7.544066018	1.67E-13	1.35E-13	9.92E-15	6.41E-13	1.04E-13	6.32E-13	1.16E-14	1.61E-15	1.54E-15
7.617309377	1.02E-13	9.57E-14	1.98E-14	4.70E-13	1.17E-13	4.61E-13	8.25E-15	1.90E-15	2.91E-15
7.690552736	1.27E-13	1.07E-13	9.20E-15	1.70E-13	1.48E-13	4.03E-13	7.12E-15	2.58E-15	2.52E-15
7.763796096	2.76E-13	1.66E-13	1.29E-14	4.51E-13	7.55E-14	3.95E-13	5.43E-15	4.20E-15	1.99E-15
7.837039455	3.02E-13	1.60E-13	1.69E-14	5.39E-13	1.50E-13	5.19E-13	4.62E-15	2.43E-15	2.04E-15
7.910282815	1.84E-13	3.28E-13	1.92E-14	3.82E-13	4.46E-13	7.32E-13	4.71E-15	2.87E-15	1.84E-15
7.983526174	1.33E-13	6.05E-13	3.32E-14	2.93E-13	6.20E-13	4.19E-13	3.25E-15	2.65E-15	2.51E-15
8.056769533	1.19E-13	5.21E-13	3.58E-14	1.84E-13	8.96E-13	4.35E-13	2.12E-15	1.25E-15	2.68E-15
8.130012893	2.69E-13	7.49E-13	4.80E-14	1.04E-13	7.77E-13	3.18E-13	3.26E-15	1.80E-15	2.34E-15
8.203256252	4.52E-13	8.93E-13	6.60E-14	1.16E-13	4.78E-13	3.04E-13	3.49E-15	1.72E-15	3.29E-15
8.276499611	4.05E-13	8.16E-13	7.80E-14	1.81E-13	1.62E-13	2.47E-13	2.03E-15	3.20E-15	2.83E-15
8.349742971	3.78E-13	7.39E-13	8.74E-14	1.41E-13	7.41E-14	2.66E-13	2.52E-15	3.65E-15	1.50E-15
8.42298633	4.23E-13	2.59E-13	7.35E-14	7.17E-14	8.76E-14	2.53E-13	4.15E-15	2.62E-15	9.57E-16
8.49622969	5.23E-13	3.04E-13	4.39E-14	2.36E-13	2.00E-13	3.41E-13	4.58E-15	2.10E-15	1.81E-15
8.569473049	9.87E-13	2.42E-13	6.88E-14	5.65E-13	5.80E-13	3.46E-13	4.92E-15	3.23E-15	1.74E-15
8.642716408	1.25E-12	2.65E-13	5.52E-14	4.50E-13	7.88E-13	3.45E-13	3.82E-15	1.78E-15	1.78E-15
8.715959768	8.35E-13	3.32E-13	4.59E-14	2.56E-13	4.55E-13	5.19E-13	3.13E-15	2.57E-15	1.82E-15
8.789203127	9.92E-13	3.38E-13	4.34E-14	1.32E-13	1.68E-13	6.20E-13	3.90E-15	2.51E-15	3.56E-15
8.862446487	1.24E-12	3.46E-13	4.62E-14	2.59E-13	7.18E-13	1.27E-12	5.28E-15	1.12E-15	3.89E-15
